date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:26	148/148	---MCZ	200	added ('OK')	text/plain	date:Tue,%2024%20Jan%202023%2002:34:26%20GMT	http://mifincaraiz.local/robots.txt		(from )
21:34:31	25067/25067	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2002:34:30%20GMT	http://mifincaraiz.local/	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/index.html	(from )
21:34:31	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%22172a9-5ed33192c4540%22	http://mifincaraiz.local/wp-includes/css/dist/block-library/style.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-includes/css/dist/block-library/style.min.css	(from http://mifincaraiz.local/)
21:34:31	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%22d9-5ebdc1e39f300%22	http://mifincaraiz.local/wp-includes/css/classic-themes.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-includes/css/classic-themes.min.css	(from http://mifincaraiz.local/)
21:34:31	61314/61314	---MCZ	200	added ('OK')	text/css	etag:W/%22ef82-5f2e20b93282f%22	http://mifincaraiz.local/wp-content/themes/essential/assets/css/animate.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/css/animate.min.css	(from http://mifincaraiz.local/)
21:34:31	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22d17-5f2e20b95a4e7%22	http://mifincaraiz.local/wp-content/themes/essential/assets/css/owl.carousel.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/css/owl.carousel.min.css	(from http://mifincaraiz.local/)
21:34:32	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%223f5-5f2e20b967bcd%22	http://mifincaraiz.local/wp-content/themes/essential/assets/css/owl.theme.default.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/css/owl.theme.default.min.css	(from http://mifincaraiz.local/)
21:34:32	1031/1031	---MCZ	200	added ('OK')	text/css	etag:W/%22407-5f2e20b9ab9c8%22	http://mifincaraiz.local/wp-content/themes/essential/assets/css/supersized.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/css/supersized.min.css	(from http://mifincaraiz.local/)
21:34:35	730/730	---MC-	200	added ('OK')	application/rss+xml	etag:%22b4389dab3509986fb408ead4f1e84561%22	http://mifincaraiz.local/comments/feed/	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/comments/feed/index.html	(from http://mifincaraiz.local/)
21:34:35	46591/46591	---MCZ	200	added ('OK')	text/css	etag:%22b5ff-9SZHeQtAby8lJ36W/91y4Zpjtdg%22	https://unpkg.com/ionicons@4.5.8/dist/css/ionicons.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/unpkg.com/ionicons@4.5.8/dist/css/ionicons.min.css	(from http://mifincaraiz.local/)
21:34:35	128038/128038	---MCZ	200	added ('OK')	text/css	etag:W/%221f426-5f2e20b9821a7%22	http://mifincaraiz.local/wp-content/themes/essential/assets/css/style.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/css/style.min.css	(from http://mifincaraiz.local/)
21:34:35	3318/3318	---MCZ	200	added ('OK')	text/css	etag:W/%22cf6-5f2e20bd4ec29%22	http://mifincaraiz.local/wp-content/themes/essential/style.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/style.css	(from http://mifincaraiz.local/)
21:34:35	28/28	---MCZ	200	added ('OK')	text/css	etag:W/%221c-5f2e20b933bc1%22	http://mifincaraiz.local/wp-content/themes/essential/assets/css/custom-styles.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/css/custom-styles.css	(from http://mifincaraiz.local/)
21:34:38	0/0	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2002:34:38%20GMT	http://mifincaraiz.local/wp-admin/admin-ajax.php?action=essential_dynamic_css&ver=3.0	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-admin/admin-ajax1c57.php	(from http://mifincaraiz.local/)
21:34:38	5853/5853	---MCZ	200	added ('OK')	text/css	etag:W/%2216dd-5f2e20b9487ce%22	http://mifincaraiz.local/wp-content/themes/essential/assets/css/et-line.min.css	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/css/et-line.min.css	(from http://mifincaraiz.local/)
21:34:41	15677/15677	---M--	200	added ('OK')	image/png	etag:%223d3d-5f2d50e413374%22	http://mifincaraiz.local/wp-content/uploads/2023/01/g65306-150x150.png	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/uploads/2023/01/g65306-150x150.png	(from http://mifincaraiz.local/)
21:34:44	27752/27752	---M--	200	added ('OK')	image/png	etag:%226c68-5f2d50e139ba4%22	http://mifincaraiz.local/wp-content/uploads/2023/01/g65306.png	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/uploads/2023/01/g65306.png	(from http://mifincaraiz.local/)
21:34:44	200892/200892	---MCZ	200	added ('OK')	application/json	date:Tue,%2024%20Jan%202023%2002:34:41%20GMT	http://mifincaraiz.local/wp-json/	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-json/index.html	(from http://mifincaraiz.local/)
21:34:47	118812/118812	---M--	200	added ('OK')	application/javascript	etag:%221d01c-5f2f95aed4e1b%22	http://mifincaraiz.local/wp-content/cache/wpo-minify/1674527442/assets/wpo-minify-header-b7e3148c.min.js	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/cache/wpo-minify/1674527442/assets/wpo-minify-header-b7e3148c.min.js	(from http://mifincaraiz.local/)
21:34:51	134452/134452	---M--	200	added ('OK')	application/javascript	etag:%2220d34-5f2f95afa3a00%22	http://mifincaraiz.local/wp-content/cache/wpo-minify/1674527442/assets/wpo-minify-footer-26833738.min.js	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/cache/wpo-minify/1674527442/assets/wpo-minify-footer-26833738.min.js	(from http://mifincaraiz.local/)
21:34:52	28279/28279	---MC-	200	added ('OK')	application/rss+xml	etag:%22b4389dab3509986fb408ead4f1e84561%22	http://mifincaraiz.local/feed/	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/feed/index.html	(from http://mifincaraiz.local/)
21:34:54	25359/25359	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2002:34:53%20GMT	http://mifincaraiz.local/category/mifincaraiz/	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/category/mifincaraiz/index.html	(from http://mifincaraiz.local/)
21:34:57	24076/24076	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jan%202023%2002:34:56%20GMT	http://mifincaraiz.local/wp-content/themes/essential/assets/img/arrow-right-primary.svg	C:/Users/angie/Desktop/Nueva%20carpeta/cope%20finca/mifincaraiz.local/wp-content/themes/essential/assets/img/arrow-right-primary.13.delayed	(from http://mifincaraiz.local/wp-content/themes/essential/assets/css/style.min.css)
